DATE,MORTGAGE15US
2012-01-05,3.23
2012-01-12,3.16
2012-01-19,3.17
2012-01-26,3.24
2012-02-02,3.14
2012-02-09,3.16
2012-02-16,3.16
2012-02-23,3.19
2012-03-01,3.17
2012-03-08,3.13
2012-03-15,3.16
2012-03-22,3.30
2012-03-29,3.23
2012-04-05,3.21
2012-04-12,3.11
2012-04-19,3.13
2012-04-26,3.12
2012-05-03,3.07
2012-05-10,3.05
2012-05-17,3.04
2012-05-24,3.04
2012-05-31,2.97
2012-06-07,2.94
2012-06-14,2.98
2012-06-21,2.95
2012-06-28,2.94
2012-07-05,2.89
2012-07-12,2.86
2012-07-19,2.83
2012-07-26,2.80
2012-08-02,2.83
2012-08-09,2.84
2012-08-16,2.88
2012-08-23,2.89
2012-08-30,2.86
2012-09-06,2.86
2012-09-13,2.85
2012-09-20,2.77
2012-09-27,2.73
2012-10-04,2.69
2012-10-11,2.70
2012-10-18,2.66
2012-10-25,2.72
2012-11-01,2.70
2012-11-08,2.69
2012-11-15,2.65
2012-11-21,2.63
2012-11-29,2.64
2012-12-06,2.67
2012-12-13,2.66
2012-12-20,2.65
2012-12-27,2.65
2013-01-03,2.64
2013-01-10,2.66
2013-01-17,2.66
2013-01-24,2.71
2013-01-31,2.81
2013-02-07,2.77
2013-02-14,2.77
2013-02-21,2.77
2013-02-28,2.76
2013-03-07,2.76
2013-03-14,2.79
2013-03-21,2.72
2013-03-28,2.76
2013-04-04,2.74
2013-04-11,2.65
2013-04-18,2.64
2013-04-25,2.61
2013-05-02,2.56
2013-05-09,2.61
2013-05-16,2.69
2013-05-23,2.77
2013-05-30,2.98
2013-06-06,3.03
2013-06-13,3.10
2013-06-20,3.04
2013-06-27,3.50
2013-07-03,3.39
2013-07-11,3.53
2013-07-18,3.41
2013-07-25,3.39
2013-08-01,3.43
2013-08-08,3.43
2013-08-15,3.44
2013-08-22,3.60
2013-08-29,3.54
2013-09-05,3.59
2013-09-12,3.59
2013-09-19,3.54
2013-09-26,3.37
2013-10-03,3.29
2013-10-10,3.31
2013-10-17,3.33
2013-10-24,3.24
2013-10-31,3.20
2013-11-07,3.27
2013-11-14,3.35
2013-11-21,3.27
2013-11-27,3.30
2013-12-05,3.47
2013-12-12,3.43
2013-12-19,3.51
2013-12-26,3.52
2014-01-02,3.55
2014-01-09,3.56
2014-01-16,3.45
2014-01-23,3.44
2014-01-30,3.40
2014-02-06,3.33
2014-02-13,3.33
2014-02-20,3.35
2014-02-27,3.39
2014-03-06,3.32
2014-03-13,3.38
2014-03-20,3.32
2014-03-27,3.42
2014-04-03,3.47
2014-04-10,3.38
2014-04-17,3.33
2014-04-24,3.39
2014-05-01,3.38
2014-05-08,3.32
2014-05-15,3.29
2014-05-22,3.25
2014-05-29,3.21
2014-06-05,3.23
2014-06-12,3.31
2014-06-19,3.30
2014-06-26,3.22
2014-07-03,3.22
2014-07-10,3.24
2014-07-17,3.23
2014-07-24,3.26
2014-07-31,3.23
2014-08-07,3.27
2014-08-14,3.24
2014-08-21,3.23
2014-08-28,3.25
2014-09-04,3.24
2014-09-11,3.26
2014-09-18,3.37
2014-09-25,3.36
2014-10-02,3.36
2014-10-09,3.30
2014-10-16,3.18
2014-10-23,3.08
2014-10-30,3.13
2014-11-06,3.21
2014-11-13,3.20
2014-11-20,3.17
2014-11-26,3.17
2014-12-04,3.10
2014-12-11,3.20
2014-12-18,3.09
2014-12-24,3.10
2014-12-31,3.15
2015-01-08,3.05
2015-01-15,2.98
2015-01-22,2.93
2015-01-29,2.98
2015-02-05,2.92
2015-02-12,2.99
2015-02-19,3.05
2015-02-26,3.07
2015-03-05,3.03
2015-03-12,3.10
2015-03-19,3.06
2015-03-26,2.97
2015-04-02,2.98
2015-04-09,2.93
2015-04-16,2.94
2015-04-23,2.92
2015-04-30,2.94
2015-05-07,3.02
2015-05-14,3.07
2015-05-21,3.05
2015-05-28,3.11
2015-06-04,3.08
2015-06-11,3.25
2015-06-18,3.23
2015-06-25,3.21
2015-07-02,3.24
2015-07-09,3.20
2015-07-16,3.25
2015-07-23,3.21
2015-07-30,3.17
2015-08-06,3.13
2015-08-13,3.17
2015-08-20,3.15
2015-08-27,3.06
2015-09-03,3.09
2015-09-10,3.10
2015-09-17,3.11
2015-09-24,3.08
2015-10-01,3.07
2015-10-08,2.99
2015-10-15,3.03
2015-10-22,2.98
2015-10-29,2.98
2015-11-05,3.09
2015-11-12,3.20
2015-11-19,3.18
2015-11-25,3.18
2015-12-03,3.16
