"period_begin","period_end","period_duration","region_type","region_type_id","table_id","is_seasonally_adjusted","region","city","state","state_code","property_type","property_type_id","median_sale_price","median_sale_price_mom","median_sale_price_yoy","median_list_price","median_list_price_mom","median_list_price_yoy","median_ppsf","median_ppsf_mom","median_ppsf_yoy","median_list_ppsf","median_list_ppsf_mom","median_list_ppsf_yoy","homes_sold","homes_sold_mom","homes_sold_yoy","pending_sales","pending_sales_mom","pending_sales_yoy","new_listings","new_listings_mom","new_listings_yoy","inventory","inventory_mom","inventory_yoy","months_of_supply","months_of_supply_mom","months_of_supply_yoy","median_dom","median_dom_mom","median_dom_yoy","avg_sale_to_list","avg_sale_to_list_mom","avg_sale_to_list_yoy","sold_above_list","sold_above_list_mom","sold_above_list_yoy","price_drops","price_drops_mom","price_drops_yoy","off_market_in_two_weeks","off_market_in_two_weeks_mom","off_market_in_two_weeks_yoy","parent_metro_region","parent_metro_region_metro_code","last_updated"
"4/1/2013","6/30/2013",90,"neighborhood",1,547552,"f","San Diego, CA - Bluffs","San Diego","California","CA","All Residential",-1,610000,-0.004081633,0.142857143,599000,-0.033870968,-0.02601626,324.5708155,-0.005471875,0.346587007,317.0785241,0.004786612,0.135295789,21,-0.045454545,0.166666667,7,0.75,0.166666667,22,0.047619048,0.047619048,8,0.6,-0.466666667,NA,NA,NA,6,-0.5,-58,1.027215298,0.004315365,0.062694641,0.857142857,0.084415584,0.69047619,NA,NA,NA,0.714285714,0.214285714,0.214285714,"San Diego, CA",41740,"9/11/2022 14:46"
"6/1/2016","8/31/2016",90,"neighborhood",1,1735,"f","San Diego, CA - Mission Hills","San Diego","California","CA","All Residential",-1,980000,0.20356156,0.042553191,1095000,0,0.084158416,585.6807512,0.071177176,0.130536083,548.551093,0.00927735,0.020155409,26,-0.235294118,-0.509433962,10,0.111111111,-0.166666667,54,-0.052631579,-0.035714286,54,-0.1,0.255813953,NA,NA,NA,64.5,31,40.5,0.971401374,-0.005197688,0.001567105,0.115384615,-0.031674208,-0.054426705,NA,NA,NA,0.4,0.066666667,-0.1,"San Diego, CA",41740,"9/11/2022 14:46"
"11/1/2021","1/31/2022",90,"neighborhood",1,2667,"f","San Diego, CA - Swan Canyon","San Diego","California","CA","Condo/Co-op",3,4e+05,0.102687802,0.403508772,450000,0.090909091,0.672862454,409.8360656,-0.015483755,0.107276388,511.3636364,0.141965679,0.463754647,1,-0.5,0,NA,NA,NA,1,-0.5,0,NA,NA,NA,NA,NA,NA,11,-18.5,-7,1.066666667,0.024739583,0.007187113,1,0,0,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"3/1/2018","5/31/2018",90,"neighborhood",1,117511,"f","San Diego, CA - Midway District","San Diego","California","CA","Townhouse",13,540000,0,NA,606950,0.2139,NA,350.047081,0,NA,378.4844936,0.090035342,NA,2,0,NA,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,32.5,0,NA,1.006956522,0,NA,0.5,0,NA,NA,NA,NA,1,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2020","2/28/2021",90,"neighborhood",1,2667,"f","San Diego, CA - Swan Canyon","San Diego","California","CA","Townhouse",13,361000,NA,-0.203090508,354900,NA,NA,369.8770492,NA,-0.028358303,363.6270492,NA,NA,2,NA,0,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,-26,1.017350172,NA,0.02672415,1,NA,1,NA,NA,NA,1,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"6/1/2020","8/31/2020",90,"neighborhood",1,557511,"f","San Diego, CA - Congress","San Diego","California","CA","Condo/Co-op",3,419000,-0.009456265,-0.034562212,449900,NA,NA,537.1794872,-0.009456265,0.028635233,542.0481928,NA,NA,2,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,112,30,76.5,0.981330043,-0.013964075,-0.022485666,0,0,-0.5,NA,NA,NA,0,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"9/1/2021","11/30/2021",90,"neighborhood",1,1115,"f","San Diego, CA - Golden Hill","San Diego","California","CA","Condo/Co-op",3,490000,0.088888889,0.209876543,484900,0.033901919,0.243365214,625,0,0.240269081,594.757931,0.016132249,0.176539325,13,0,-0.5,2,-0.714285714,-0.666666667,14,0.076923077,-0.263157895,3,2,0,NA,NA,NA,13,-4,4,1.031877378,0.008768556,0.017837891,0.846153846,0.230769231,0.115384615,NA,NA,NA,1,0.428571429,0.833333333,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2019","2/29/2020",90,"neighborhood",1,2491,"f","San Diego, CA - Sorrento Valley","San Diego","California","CA","Condo/Co-op",3,633000,0.031364562,-0.057334326,699000,NA,0.029455081,478.4172662,-0.004347157,0.041060195,477.1331058,NA,0.082860259,3,-0.5,0.5,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,NA,42,4,18,0.987931838,-0.003401102,-0.01610762,0,-0.166666667,-0.5,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"12/1/2016","2/28/2017",90,"neighborhood",1,110911,"f","San Diego, CA - Islenair","San Diego","California","CA","All Residential",-1,5e+05,NA,0.225490196,NA,NA,NA,304.136253,NA,-0.297698317,NA,NA,NA,1,NA,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,-1,0.961538462,NA,-0.01305463,0,NA,0,NA,NA,NA,NA,NA,NA,"San Diego, CA",41740,"9/11/2022 14:46"
"7/1/2015","9/30/2015",90,"neighborhood",1,765055,"f","San Diego, CA - Village","San Diego","California","CA","All Residential",-1,225000,-0.042553191,-0.0625,254888,-0.015876448,-0.026959343,249.0530303,-0.065256286,-0.052747021,283.8271605,0,0.109265193,11,0,0.222222222,4,0.333333333,1,11,-0.266666667,0.375,6,-0.4,-0.142857143,NA,NA,NA,29,-33,4,0.968421423,-0.006508435,-0.000757284,0.090909091,-0.090909091,-0.131313131,NA,NA,NA,0,-0.333333333,-0.5,"San Diego, CA",41740,"9/11/2022 14:46"
